1.02014	1.99969	0.12528	0.000434167
0.721348	1.99946	0.125388	0.000655
0.51007	1.99901	0.125534	0.00108
0.360674	1.99836	0.125742	0.00154
0.255035	1.99747	0.126039	0.00195
0.180337	1.99629	0.126464	0.00251
0.127517	1.99463	0.127065	0.00333
0.0901684	1.99232	0.127914	0.00547
0.0637587	1.98876	0.129103	0.00756
0.0450842	1.98339	0.130764	0.01052
0.0318794	1.97532	0.133082	0.01643
0.0225421	1.96316	0.136289	0.02731
0.0159397	1.94384	0.140664	0.04441
0.0112711	1.91326	0.146529	0.07131
0.00796984	1.86503	0.154139	0.11522
0.00563553	1.79028	0.163552	0.17633
0.00398492	1.68091	0.174258	0.25227
0.00281776	1.53547	0.184954	0.31032
0.00199246	1.37151	0.193718	0.31961
0.00140888	1.22198	0.198958	0.25437
0.00099623	1.11604	0.200466	0.15822
0.000704441	1.05568	0.199357	0.0809
0.000498115	1.02385	0.196759	0.04408
0.00035222	1.00443	0.193385	0.02703
0.000249057	0.99028	0.18941	0.02371
0.00017611	0.977512	0.184909	0.01859
0.000124529	0.965639	0.179804	0.02217
8.80551e-05	0.952453	0.174063	0.02127
6.22644e-05	0.938141	0.167536	0.02967
4.40276e-05	0.920281	0.160167	0.03212
3.11322e-05	0.899102	0.151762	0.04596
2.20138e-05	0.871763	0.142307	0.05388
1.55661e-05	0.838047	0.131593	0.07507
1.10069e-05	0.794824	0.119745	0.08969
7.78305e-06	0.741632	0.10667	0.11647
5.50344e-06	0.676624	0.092821	0.13376
3.89152e-06	0.601056	0.078414	0.15987
2.75172e-06	0.516413	0.064303	0.166
1.94576e-06	0.428437	0.05095	0.17644
1.37586e-06	0.341847	0.039241	0.15772
9.72881e-07	0.263725	0.02931	0.14538
6.87931e-07	0.197202	0.021547	0.11052
4.8644e-07	0.144486	0.015485	0.09323
3.43965e-07	0.104033	0.011154	0.06129
2.4322e-07	0.0745729	0.007861	0.05328
1.71983e-07	0.0528315	0.005653	0.02953
1.2161e-07	0.0376399	0.003927	0.02979
8.59913e-08	0.0265167	0.002858	0.01259
6.0805e-08	0.0188849	0.001943	0.01743
4.29957e-08	0.0132584	0.001454	0.00387
3.04025e-08	0.00947851	0.000948	0.01117
2.14978e-08	0.00659312	0.00075	-0.00059
1.52013e-08	0.00476089	0.00045	0.00802
1.07489e-08	0.00327492	0.000399	-0.00279
7.60063e-09	0.0024093	0.000202	0.00645
5.37446e-09	0.00161582	0.000223	-0.0039
3.80032e-09	0.00122629	7.7e-05	0.00568
2.68723e-09	0.000779055	0.000135	-0.00445
1.90016e-09	0.000634786	1.5e-05	0.00529
1.34361e-09	0.000360674	9.1e-05	-0.00472
9.50079e-10	0.000346247	-1.6e-05	0.00509
6.71807e-10	0.000158696	6.9e-05	-0.00486
4.75039e-10	0.000201977	-3.1e-05	0.00499
3.35904e-10	4.32809e-05	5.8e-05	-0.00493
2.3752e-10	0.000129843	-3.9e-05	0.00494
1.67952e-10	0.0	5.3e-05	-0.00496
1.1876e-10	0.000100989	-4.3e-05	0.00498
